DATE,AQI,PM2.5 AVG,PM2.5 MIN,PM2.5 MAX,PM10 AVG,PM10 MIN,PM10 MAX,NO2 AVG,NO2 MIN,NO2 MAX,NH3 AVG,NH3 MIN,NH3 MAX,SO2 AVG,SO2 MIN,SO2 MAX,CO AVG,CO MIN,CO MAX,OZONE AVG,OZONE MIN,OZONE MAX,PROMINENT POLLUTENT,MAX TEMP,MIN TEMP,HUMIDITY
3/25/2017,75,75,45,210,74,50,110,28,40,180,3,2,3,2,1,4,34,1,49,38,21,70,PM2.5,36,18,32
3/26/2017,82,82,47,153,75,65,86,29,26,31,3,2,3,3,1,3,32,7,55,30,8,70,PM2.5,38,19,23
3/27/2017,72,72,63,150,71,45,98,38,34,40,3,3,3,7,2,15,40,10,68,26,18,53,PM2.5,40,20,14
3/28/2017,80,78,63,88,80,73,87,39,37,40,3,3,3,6,5,7,25,12,48,21,4,71,PM10,40,21,36
3/29/2017,73,64,53,75,73,63,86,38,36,41,3,2,4,5,1,8,35,20,54,32,6,56,PM10,40,23,31
3/30/2017,75,75,49,120,74,60,109,39,36,41,3,3,3,6,2,8,35,17,64,29,8,44,PM2.5,40,23,31
3/31/2017,78,78,49,146,72,60,112,40,30,46,3,3,4,5,2,8,42,17,72,14,9,51,PM2.5,41,23,30
4/1/2017,52,38,19,61,35,24,54,20,10,24,3,2,3,4,1,7,40,20,65,44,15,66,CO,40,24,16
4/2/2017,59,53,11,191,59,22,104,18,8,20,2,1,2,6,2,10,30,18,45,40,7,77,PM10,40,21,14
4/3/2017,70,62,32,114,70,41,122,10,7,18,2,1,2,9,1,16,28,11,46,47,18,68,PM10,39,22,14
4/4/2017,70,70,49,100,63,42,100,12,6,24,2,1,2,9,1,18,32,9,40,50,6,87,PM2.5,39,23,23
4/5/2017,88,88,79,99,85,76,95,6,5,9,1,1,1,6,3,12,29,12,41,40,8,60,PM2.5,36,20,51
4/6/2017,75,75,56,139,69,43,110,6,4,11,1,1,1,5,2,7,30,16,48,39,6,62,PM2.5,36,21,40
4/7/2017,86,86,64,112,82,61,101,9,4,12,1,1,1,5,1,9,29,12,56,40,14,75,PM2.5,33,20,29
4/8/2017,88,88,63,173,81,61,121,7,6,9,1,1,1,5,1,13,46,30,57,31,6,65,PM2.5,33,17,20
4/9/2017,87,87,68,162,81,65,117,8,4,14,1,1,1,4,1,7,38,27,50,45,7,80,PM2.5,33,18,15
4/10/2017,48,32,22,73,31,22,70,9,2,10,3,3,3,7,1,21,48,20,88,40,10,78,CO,34,17,15
4/11/2017,39,39,22,50,36,22,54,2,1,8,3,2,3,19,6,17,37,25,40,30,14,46,PM2.5,38,19,14
4/12/2017,99,99,54,148,76,39,99,19,9,29,1,1,5,11,7,18,9,3,41,28,12,54,PM2.5,40,21,13
4/13/2017,105,105,57,158,100,64,172,17,6,36,1,1,1,11,2,20,12,6,38,26,10,52,PM2.5,42,21,11
4/14/2017,114,91,54,143,114,67,145,15,12,19,1,1,2,9,1,19,17,5,29,30,11,41,PM10,42,23,10
4/15/2017,100,86,46,128,100,41,181,17,13,33,1,1,2,12,2,33,34,8,75,38,15,55,PM10,43,24,11
4/16/2017,60,60,28,96,58,24,98,15,8,17,1,1,1,9,2,29,27,5,118,25,9,52,PM2.5,44,25,11
4/17/2017,60,52,24,78,60,22,85,16,15,18,1,1,1,9,5,16,22,5,63,19,10,33,PM10,42,26,12
4/18/2017,86,75,37,111,86,67,107,16,14,17,1,1,1,8,6,12,26,5,73,35,6,49,PM10,43,24,16
4/19/2017,90,70,30,101,90,56,80,14,10,18,2,1,2,10,5,18,20,3,48,35,11,53,PM10,41,28,19
4/20/2017,104,104,68,294,89,65,148,12,11,12,1,1,1,11,1,26,88,44,114,43,12,63,PM2.5,44,27,20
4/21/2017,101,101,68,172,98,78,120,4,1,8,1,1,1,11,2,21,70,23,118,46,8,67,PM2.5,43,28,19
4/22/2017,104,104,72,159,91,69,116,11,8,18,1,1,1,6,1,11,48,15,100,43,8,75,PM2.5,42,29,20
4/23/2017,93,93,71,137,86,68,109,6,3,11,1,1,1,6,2,9,33,26,41,42,10,65,PM2.5,41,27,21
4/24/2017,111,111,73,298,93,70,161,7,4,16,1,1,1,4,1,9,30,16,45,42,9,64,PM2.5,42,25,14
4/25/2017,73,73,62,129,69,59,106,7,4,11,1,1,1,4,1,6,37,24,46,26,10,60,PM2.5,40,24,16
4/26/2017,97,97,64,184,84,61,124,8,3,17,1,1,1,4,2,8,35,15,48,42,6,58,PM2.5,43,26,15
4/27/2017,88,88,79,99,85,76,95,6,5,6,1,1,1,6,3,12,44,24,56,40,14,55,PM2.5,38,24,17
4/28/2017,92,92,71,139,85,68,110,6,4,7,1,1,1,5,2,7,52,36,71,44,13,61,PM2.5,39,25,16
4/29/2017,86,86,64,112,82,61,101,7,4,9,1,1,1,5,1,9,54,30,71,51,10,76,PM2.5,40,22,18
4/30/2017,88,88,63,173,81,61,121,7,6,9,1,1,1,5,1,13,46,30,57,52,7,77,PM2.5,41,24,16
5/1/2017,87,87,68,162,81,65,117,6,4,8,1,1,1,4,1,7,38,27,50,53,19,72,PM2.5,42,23,15
5/2/2017,79,79,60,137,74,57,109,6,4,7,1,1,1,5,2,9,51,29,76,54,27,76,PM2.5,40,24,11
5/3/2017,81,81,64,137,77,61,109,7,5,9,1,1,1,4,2,7,44,29,67,55,19,74,PM2.5,41,25,15
5/4/2017,92,92,82,117,87,79,103,8,7,8,1,1,1,4,4,5,63,30,82,43,34,70,PM2.5,41,25,14
5/5/2017,93,93,70,130,78,62,114,7,5,10,1,1,1,4,2,6,55,35,72,54,21,70,PM2.5,42,24,13
5/6/2017,95,95,70,169,85,67,119,7,6,8,1,1,1,3,2,5,52,40,64,48,9,71,PM2.5,43,26,17
5/7/2017,97,97,66,151,88,63,114,7,6,8,1,1,1,5,2,8,61,32,84,45,6,70,PM2.5,40,28,18
5/8/2017,92,92,68,138,86,65,109,8,4,18,1,1,1,4,1,11,54,26,77,53,11,78,PM2.5,42,27,22
5/9/2017,110,110,65,199,92,63,129,11,7,18,1,1,1,7,1,17,62,20,103,54,8,86,PM2.5,42,29,22
5/10/2017,124,124,75,293,102,71,`150,9,6,17,1,1,1,5,1,10,49,36,60,45,7,70,PM2.5,42,30,29
5/11/2017,114,114,68,282,92,66,149,6,4,8,1,1,1,7,2,15,54,40,77,50,22,81,PM2.5,43,31,30
5/12/2017,101,101,64,211,87,62,133,8,6,17,1,1,1,5,1,12,59,26,84,45,14,78,PM2.5,42,29,28
5/13/2017,95,95,66,223,86,63,137,8,6,12,1,1,1,3,1,7,51,26,73,46,11,70,PM2.5,43,31,25
5/14/2017,94,94,68,197,85,66,129,9,6,15,1,1,1,3,1,6,38,9,53,48,14,81,PM2.5,41,28,26
5/15/2017,106,106,69,197,92,66,128,7,5,8,1,1,1,5,1,11,60,29,86,45,15,74,PM2.5,44,29,17
5/16/2017,104,104,66,198,89,63,123,7,6,9,1,1,1,3,1,7,48,36,62,50,27,79,PM2.5,45,30,12
5/17/2017,119,119,67,276,96,64,146,5,4,8,1,1,1,4,1,8,44,28,55,28,10,77,PM2.5,43,31,13
5/18/2017,111,111,68,209,95,66,132,8,5,14,1,1,1,4,1,11,42,21,57,34,15,22,PM2.5,42,31,16
5/19/2017,86,86,64,161,81,62,117,7,6,9,1,1,1,5,1,8,51,33,67,49,14,68,PM2.5,41,32,18
5/20/2017,97,97,66,156,89,64,115,8,6,11,1,1,1,4,1,9,47,32,84,39,11,74,PM2.5,42,29,23
5/21/2017,89,89,67,132,83,64,108,7,4,14,1,1,1,4,1,8,43,23,59,44,15,75,PM2.5,43,30,22
5/22/2017,84,84,64,146,78,61,112,4,2,6,1,1,1,3,1,5,44,33,55,48,10,70,PM2.5,42,29,24
5/23/2017,98,98,68,168,87,65,119,5,4,6,1,1,1,4,1,9,45,31,53,28,9,73,PM2.5,40,27,21
5/24/2017,80,80,64,118,76,61,103,6,4,7,1,1,1,5,1,9,45,30,57,27,4,48,PM2.5,41,28,23
5/25/2017,91,91,62,150,84,60,113,6,4,8,1,1,1,4,1,7,54,36,66,45,25,62,PM2.5,41,27,25
5/26/2017,77,77,66,92,74,64,88,6,5,7,1,1,1,4,1,10,56,34,90,53,17,20,PM2.5,40,26,24
5/27/2017,76,76,60,125,72,58,105,6,5,8,1,1,1,4,1,8,42,28,54,43,16,77,PM2.5,40,30,25
5/28/2017,85,85,60,145,79,58,112,7,6,8,1,1,1,4,1,8,44,26,59,48,15,52,PM2.5,42,29,30
5/29/2017,77,77,63,107,74,60,99,7,5,15,1,1,1,4,1,7,40,22,55,40,20,72,PM2.5,41,31,35
5/30/2017,110,110,76,164,95,73,118,8,4,10,2,1,2,88,2,157,50,46,52,48,18,66,PM2.5,40,29,33
5/31/2017,127,127,70,280,92,70,116,7,6,8,1,1,1,19,4,28,56,48,68,35,10,71,PM2.5,39,28,30
6/1/2017,148,148,69,310,107,66,176,6,5,7,1,1,1,9,2,21,51,41,62,50,6,74,PM2.5,39,27,30
6/2/2017,125,125,58,316,96,56,183,8,5,14,1,1,1,8,1,17,42,28,51,44,8,66,PM2.5,43,28,17
6/3/2017,118,118,69,232,97,66,140,6,4,7,1,1,1,5,1,17,45,29,62,45,5,59,PM2.5,44,30,16
6/4/2017,102,102,63,216,88,61,135,4,2,6,1,1,1,7,1,17,44,31,56,38,24,54,PM2.5,45,29,15
6/5/2017,84,84,72,113,80,69,102,6,3,8,1,1,1,8,5,14,40,27,50,16,10,48,PM2.5,48,33,16
6/6/2017,111,111,68,209,110,62,173,2,1,4,1,1,1,5,3,6,39,26,48,41,12,65,PM2.5,47,32,18
6/7/2017,134,134,62,309,102,59,173,1,1,2,1,1,1,4,3,5,31,17,42,35,10,62,PM2.5,46,32,18
6/8/2017,71,71,60,90,68,57,86,2,1,3,1,1,1,5,4,7,36,29,41,38,8,70,PM2.5,45,30,18
6/9/2017,92,92,64,170,82,61,120,1,1,2,1,1,1,4,2,6,40,27,55,28,10,77,PM2.5,40,29,26
6/10/2017,84,84,62,127,79,60,106,1,1,3,1,1,1,6,3,7,44,27,58,34,8,66,PM2.5,42,28,22
6/11/2017,82,82,64,151,77,62,114,3,2,3,1,1,1,5,3,7,33,23,44,34,3,51,PM2.5,43,29,18
6/12/2017,78,78,62,120,74,60,104,2,1,3,1,1,1,4,3,6,34,25,45,30,5,42,PM2.5,42,32,19
6/13/2017,84,84,62,148,78,59,113,2,1,5,1,1,2,6,3,8,36,22,51,32,6,45,PM2.5,43,30,17
6/14/2017,122,122,65,288,94,62,158,6,1,8,2,2,2,14,5,26,40,19,70,29,8,46,PM2.5,42,31,20
6/15/2017,112,112,65,204,104,60,158,2,1,4,1,1,1,5,3,6,35,24,47,34,15,58,PM2.5,40,32,22
6/16/2017,133,133,63,299,101,59,168,1,1,2,1,1,2,3,2,5,30,16,43,35,8,54,PM2.5,41,31,24
6/17/2017,183,183,76,348,129,73,243,2,1,2,1,1,1,8,1,17,39,26,51,36,7,48,PM2.5,42,29,26
6/18/2017,209,209,95,353,142,92,253,2,1,3,1,1,1,4,1,6,45,33,53,28,10,45,PM2.5,40,30,34
6/19/2017,299,299,94,475,245,90,459,2,1,2,1,1,1,8,3,16,39,28,48,30,3,40,PM2.5,41,28,36
6/20/2017,219,219,103,375,152,98,298,2,1,4,1,1,1,10,1,16,39,37,41,26,10,59,PM2.5,38,27,34
6/21/2017,101,101,60,210,96,54,220,3,1,6,1,1,2,8,1,14,35,30,45,16,3,37,PM2.5,39,26,36
6/22/2017,91,91,63,170,88,60,136,7,2,10,1,1,1,8,2,14,43,32,48,13,2,50,PM2.5,37,26,38
6/23/2017,114,114,63,240,94,61,142,7,4,15,1,1,1,9,3,16,28,18,42,10,5,20,PM2.5,40,27,34
6/24/2017,160,160,72,359,118,69,264,5,2,9,1,1,1,8,1,18,34,24,47,12,2,16,PM2.5,42,28,30
6/25/2017,177,177,83,370,129,79,288,5,3,6,1,1,1,7,1,17,39,28,46,14,5,20,PM2.5,43,31,29
6/26/2017,207,207,82,425,154,79,412,5,4,6,1,1,1,8,1,18,41,30,57,18,8,36,PM2.5,40,30,35
6/27/2017,131,131,102,175,107,97,121,6,6,7,1,1,1,6,5,7,34,25,39,26,10,36,PM2.5,41,31,30
6/28/2017,79,65,51,88,79,62,135,16,11,17,7,7,7,4,1,6,22,14,44,30,8,46,PM10,36,26,80
6/29/2017,78,74,37,135,78,49,107,25,8,41,5,3,8,13,5,25,24,11,44,28,9,54,PM10,37,25,72
6/30/2017,114,98,56,176,114,74,173,29,14,71,6,2,10,10,5,19,30,18,38,33,8,49,PM2.5,34,27,65
7/1/2017,115,115,87,166,107,83,118,25,10,100,9,4,14,9,5,14,25,10,38,32,11,52,PM2.5,35,28,60
7/2/2017,103,88,50,154,103,81,162,37,8,75,8,2,12,10,1,18,28,8,36,42,27,56,PM10,36,30,52
7/3/2017,50,49,5,153,30,5,66,10,4,18,1,1,2,7,3,13,50,25,68,30,12,48,CO,38,28,55
7/4/2017,56,16,1,57,56,20,72,16,5,17,1,1,3,6,2,8,36,25,45,18,6,65,PM10,40,30,46
7/5/2017,79,56,8,72,79,23,90,12,2,15,1,1,4,6,4,18,22,22,37,31,8,54,PM10,38,28,52
7/6/2017,60,43,8,130,60,36,105,15,6,17,1,1,4,11,4,38,43,22,73,25,8,36,PM10,37,25,53
7/7/2017,69,21,3,50,69,21,103,10,5,18,1,1,3,6,2,20,35,14,83,21,6,51,PM10,38,26,56
7/8/2017,77,72,4,110,77,36,111,12,7,17,1,1,4,3,1,5,31,17,48,45,7,88,PM10,37,26,45
7/9/2017,96,81,9,190,96,33,147,10,8,17,1,1,2,18,2,78,75,3,112,40,11,46,PM10,36,28,48
7/10/2017,79,74,30,121,79,44,132,12,5,10,1,1,3,13,2,56,48,36,121,29,10,42,PM10,41,32,35
7/11/2017,90,90,56,210,65,38,120,5,1,15,1,1,2,18,4,66,41,28,70,31,22,56,PM2.5,38,31,38
7/12/2017,95,95,46,196,72,39,130,6,2,15,1,1,4,10,3,78,43,28,58,25,17,60,PM2.5,37,29,34
7/13/2017,96,96,40,180,82,38,110,6,5,7,2,1,2,4,1,7,38,27,53,36,12,49,PM2.5,38,30,40
7/14/2017,90,72,21,210,90,20,210,7,6,8,2,1,3,6,1,10,39,25,50,30,16,47,PM10,38,29,44
7/15/2017,78,78,26,110,70,30,170,7,6,8,2,1,3,4,1,6,65,41,86,27,14,46,PM2.5,38,30,45
7/16/2017,91,80,22,145,91,46,132,18,12,29,8,2,10,6,1,11,32,24,44,22,7,70,PM10,39,31,44
7/17/2017,65,59,29,85,65,35,97,16,10,29,7,2,10,7,1,11,36,31,43,25,18,43,PM10,37,30,46
7/18/2017,91,76,53,100,91,62,115,11,8,34,6,1,8,5,1,8,29,26,50,28,19,50,PM10,39,30,48
7/19/2017,100,100,62,233,84,59,140,7,1,14,2,1,2,6,3,10,34,15,58,31,19,37,PM2.5,38,29,35
7/20/2017,131,131,90,233,103,86,140,8,6,9,2,2,2,6,3,7,38,27,53,25,18,30,PM2.5,37,27,30
7/21/2017,168,168,91,329,123,87,202,8,1,15,2,1,3,6,5,8,39,25,50,32,24,45,PM2.5,35,28,32
7/22/2017,48,32,22,73,31,22,70,9,2,17,3,3,3,7,1,36,48,20,88,36,31,43,CO,36,29,28
7/23/2017,46,46,22,61,45,22,58,2,2,3,3,3,3,19,6,36,30,28,33,29,26,48,PM2.5,35,30,30
7/24/2017,86,86,51,94,82,49,90,18,10,23,3,3,3,10,7,12,39,20,58,30,20,41,PM2.5,37,31,24
7/25/2017,94,94,91,98,86,80,92,14,8,22,3,3,3,11,9,14,36,30,40,23,10,41,PM2.5,38,32,25
7/26/2017,96,96,88,103,88,80,96,12,7,26,2,2,3,10,9,11,28,20,39,22,11,37,PM2.5,36,28,56
7/27/2017,95,95,67,171,85,64,117,9,5,16,1,1,1,7,1,14,34,10,57,22,5,63,PM2.5,34,28,60
7/28/2017,99,99,62,110,80,60,98,11,5,12,1,1,1,9,1,12,38,20,50,27,15,34,PM2.5,33,27,70
7/29/2017,81,77,39,121,80,34,104,26,25,28,4,4,4,22,2,68,44,6,103,34,5,46,PM10,34,26,65
7/30/2017,109,109,32,178,109,75,122,26,22,33,5,4,14,10,2,27,40,6,100,25,16,55,PM2.5,33,28,68
7/31/2017,122,122,28,220,108,55,149,28,26,76,5,4,12,10,4,23,47,2,89,32,17,44,PM2.5,35,28,65
8/1/2017,137,130,60,270,137,96,170,28,23,83,4,4,5,13,5,20,48,4,119,32,12,50,PM10,36,28,50
8/2/2017,161,161,63,250,118,101,135,15,13,26,5,4,5,15,6,34,95,46,102,30,14,50,PM2.5,35,26,53
8/3/2017,126,126,53,210,100,59,148,14,13,25,5,5,5,17,8,35,33,25,100,18,8,38,PM2.5,36,27,55
8/4/2017,109,109,48,202,81,44,125,14,14,21,5,5,5,13,9,22,30,15,79,26,10,35,PM2.5,37,28,54
8/5/2017,70,70,37,100,57,31,80,14,13,22,5,5,5,11,8,23,37,3,60,30,8,45,PM2.5,38,29,54
8/6/2017,94,94,45,150,77,46,90,14,12,23,5,5,5,11,7,19,44,6,58,28,9,52,PM2.5,38,28,55
8/7/2017,93,93,65,150,83,58,120,14,13,29,5,5,5,10,8,12,24,2,68,33,8,48,PM2.5,37,27,50
8/8/2017,143,143,29,220,106,73,148,14,13,20,5,5,5,14,9,22,56,9,96,32,11,56,PM2.5,38,29,53
8/9/2017,125,125,65,170,104,79,130,14,13,24,5,5,5,10,2,19,51,7,76,28,15,35,PM2.5,37,26,58
8/10/2017,103,103,37,169,93,39,110,12,10,35,8,2,12,10,1,13,30,12,48,28,12,45,PM2.5,39,28,53
8/11/2017,87,72,38,162,87,49,130,20,18,40,4,4,4,8,4,10,18,6,65,18,10,55,PM10,38,28,53
8/12/2017,66,56,17,80,66,52,98,24,17,48,5,4,7,10,4,19,24,11,68,31,12,58,PM10,37,28,54
8/13/2017,52,52,14,65,45,29,69,22,10,39,6,6,7,6,2,23,48,12,59,30,16,50,PM2.5,36,26,55
8/14/2017,50,23,11,47,30,20,39,28,18,32,6,6,7,4,3,9,46,24,58,22,12,51,CO,36,27,56
8/15/2017,52,26,16,56,29,23,47,32,19,36,6,6,7,4,2,8,47,20,62,18,8,42,CO,35,27,53
8/16/2017,66,66,14,91,65,1,125,29,16,35,6,5,6,5,3,10,42,12,60,19,9,41,PM2.5,34,26,54
8/17/2017,51,51,10,78,44,12,70,16,13,21,1,1,1,9,1,15,38,25,73,25,10,40,PM10,34,25,50
8/18/2017,54,54,11,74,36,12,60,16,10,18,1,1,1,11,6,23,37,23,47,30,15,35,PM2.5,35,28,55
8/19/2017,45,45,15,70,43,19,78,20,11,36,2,1,5,8,2,18,30,27,45,25,12,36,PM2.5,35,26,60
8/20/2017,62,62,22,90,42,17,67,34,30,39,5,5,6,9,3,18,37,24,41,24,11,33,PM2.5,36,25,59
8/21/2017,55,30,18,70,55,29,87,35,29,38,5,5,5,21,5,94,33,18,51,23,9,35,PM10,36,26,54
8/22/2017,70,70,37,94,57,31,74,14,13,16,5,5,5,11,8,23,37,6,60,22,8,33,PM2.5,38,25,55
8/23/2017,94,94,45,167,77,46,103,14,12,14,5,5,5,11,7,19,44,6,58,26,7,40,PM2.5,37,26,59
8/24/2017,126,126,53,237,100,59,151,14,13,25,5,5,5,17,8,35,33,25,100,24,6,31,PM2.5,36,27,58
8/25/2017,109,109,48,207,81,44,123,14,14,21,5,5,5,13,9,22,30,15,79,22,5,32,PM2.5,37,27,54
8/26/2017,93,93,65,153,83,58,112,14,13,15,5,5,5,10,8,12,24,2,68,29,4,36,PM2.5,36,28,50
8/27/2017,109,107,71,192,109,77,135,25,14,31,6,3,9,7,4,15,43,10,63,29,3,55,PM10,38,26,48
8/28/2017,129,129,67,198,108,80,131,22,12,26,8,4,11,7,2,14,40,28,59,18,8,45,PM2.5,37,24,52
8/29/2017,130,130,72,220,120,75,199,23,18,35,5,2,9,9,2,20,42,18,54,20,9,40,PM2.5,36,25,57
8/30/2017,160,151,86,228,160,126,194,25,25,25,2,2,2,12,4,29,38,23,54,22,7,42,PM10,37,26,51
8/31/2017,152,142,94,240,152,125,200,30,20,48,2,2,2,18,5,59,38,21,54,15,8,40,PM10,36,26,65
9/1/2017,171,171,96,272,159,115,202,35,25,55,2,2,2,11,5,25,44,19,54,18,7,39,PM2.5,36,25,71
9/2/2017,153,134,85,304,153,102,261,32,25,58,2,2,2,8,4,26,32,6,123,29,3,35,PM10,36,24,60
9/3/2017,164,122,68,319,164,114,478,28,25,41,2,1,3,7,3,13,36,24,70,15,11,23,PM10,35,25,53
9/4/2017,125,83,33,200,125,74,337,36,25,46,2,2,2,10,4,24,39,22,66,12,8,22,PM10,36,24,56
9/5/2017,139,104,62,176,139,67,193,37,25,42,2,2,2,8,5,18,42,24,68,10,7,42,PM10,34,25,53
9/6/2017,126,122,14,183,126,86,169,31,25,49,2,2,2,11,2,54,35,20,75,11,8,15,PM10,35,25,50
9/7/2017,138,136,66,274,138,84,206,35,23,45,2,2,2,12,6,28,51,45,66,10,6,35,PM10,36,24,52
9/8/2017,96,83,41,136,96,62,146,45,41,53,9,5,18,16,3,28,30,23,49,12,5,27,PM10,35,26,48
9/9/2017,112,101,51,180,112,78,137,41,30,82,7,5,16,12,4,26,36,26,48,13,4,23,PM10,37,27,47
9/10/2017,111,89,59,135,111,85,140,40,32,70,10,8,20,10,6,29,28,20,41,14,5,20,PM10,38,25,46
9/11/2017,115,92,67,144,115,78,145,42,34,60,18,9,22,11,5,30,30,12,55,15,6,34,PM10,38,24,40
9/12/2017,150,150,84,202,113,74,181,55,20,85,17,10,29,14,3,29,42,18,82,17,8,35,PM2.5,37,25,35
9/13/2017,155,155,70,210,124,84,172,70,40,99,15,9,25,10,3,20,42,12,81,13,9,22,PM2.5,37,24,35
9/14/2017,135,135,60,220,120,83,170,72,54,93,17,10,25,12,2,19,40,17,79,11,8,23,PM2.5,35,24,36
9/15/2017,212,212,100,260,147,70,216,98,86,109,16,10,30,5,1,10,73,35,110,11,7,19,PM2.5,38,23,37
9/16/2017,159,159,55,296,143,94,203,81,66,89,10,9,10,5,1,10,43,6,80,10,8,25,PM2.5,37,22,40
9/17/2017,119,103,50,224,119,81,165,78,69,84,10,9,10,4,1,10,39,23,72,14,9,22,PM10,38,23,30
9/18/2017,231,231,65,356,207,90,410,169,83,192,14,9,16,13,4,27,66,19,114,17,6,32,PM2.5,36,22,32
9/19/2017,255,255,98,343,204,114,343,100,44,196,15,13,16,19,11,29,59,23,97,18,5,35,PM2.5,38,21,37
9/20/2017,212,212,69,305,160,100,204,35,4,70,11,3,13,6,1,17,48,1,73,19,8,38,PM2.5,39,21,31
9/21/2017,797,175,79,333,204,124,367,797,270,900,143,1,250,7,1,21,35,21,66,20,7,56,NO2,38,22,32
9/22/2017,769,202,93,337,212,130,426,769,50,900,188,8,250,8,1,25,27,10,104,12,5,33,NO2,37,21,40
9/23/2017,103,79,37,169,93,39,149,103,39,306,14,2,204,9,1,32,30,12,48,15,6,36,NO2,36,20,42
9/24/2017,87,72,38,162,87,49,130,20,18,22,4,4,4,10,1,26,18,6,65,13,5,25,PM10,37,21,40
9/25/2017,241,123,78,243,139,105,197,241,20,900,10,4,50,12,1,16,31,8,54,13,1,29,NO2,38,22,44
